TruSight Oncology 500 - Metrics Output																																		
For Research Use Only. Not for use in diagnostic procedures.																																		
																																		
[Header]																																		
Output Date	2025-04-06																																	
Output Time	05:30:45																																	
Workflow Version	ruo-2.2.0.12																																	
																																		
PCT_ALIGNED_READS (%)	NA	NA	98.3	NA	98.7	98.4	NA	98.7	NA	98.9	NA	98.9	NA	99.0	NA	97.3	NA	98.4	NA	98.0	NA	97.9	NA	98.8	NA	98.1	NA	98.5	NA	97.4	NA	95.1	NA	NA
PCT_CONTAMINATION_EST (%)	NA	NA	1.2	NA	4.4	0.7	NA	0.6	NA	1.8	NA	2.9	NA	2.4	NA	1.4	NA	0.4	NA	5.0	NA	1.5	NA	0.6	NA	0.6	NA	1.8	NA	2.1	NA	8.2	NA	NA
PCT_PF_UQ_READS (%)	NA	NA	100.0	NA	100.0	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	100.0	NA	NA
PCT_TARGET_0.4X_MEAN (%)	NA	NA	96.0	NA	92.0	96.0	NA	94.8	NA	89.5	NA	90.9	NA	92.6	NA	94.2	NA	92.9	NA	93.1	NA	92.8	NA	89.2	NA	92.3	NA	93.1	NA	88.3	NA	90.0	NA	NA
PCT_TARGET_100X (%)	NA	NA	96.5	NA	97.5	97.8	NA	97.7	NA	98.3	NA	93.4	NA	96.9	NA	97.8	NA	98.0	NA	98.0	NA	97.8	NA	95.2	NA	98.7	NA	98.0	NA	97.2	NA	96.4	NA	NA
PCT_TARGET_250X (%)	NA	NA	56.8	NA	90.0	92.9	NA	93.5	NA	88.2	NA	55.8	NA	88.2	NA	92.6	NA	90.1	NA	94.2	NA	87.5	NA	75.5	NA	84.8	NA	91.6	NA	82.6	NA	85.6	NA	NA
																																		
[RNA Library QC Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD1693-D06-P02-A23_P	IPD1693-R03-P02-A23_P	IPD1712-D06-d11-A06_P	IPD1766-D06-P02-A03_P	IPD1766-R03-P02-A03_P	IPD1781-D06-P01-A12_P	IPD1781-R03-P01-A12_P	IPD1782-D06-P01-A15_P	IPD1782-R03-P01-A15_P	IPD1787-D06-d01-A18_P	IPD1787-R03-d01-A18_P	IPD1788-D06-P01-A04_P	IPD1788-R03-P01-A04_P	IPD1789-D06-d01-A09_P	IPD1789-R03-d01-A09_P	IPD1792-D06-P01-A15_P	IPD1792-R03-P01-A15_P	IPD1793-D06-R01-A18_P	IPD1793-R03-R01-A18_P	IPD1795-D06-R01-A15_P	IPD1795-R03-R01-A15_P	IPD1797-D06-P01-A08_P	IPD1797-R03-P01-A08_P	IPD1799-D06-P01-A23_P	IPD1799-R03-P01-A23_P	IPD1804-D06-P01-A16_P	IPD1804-R03-P01-A16_P	IPD1805-D06-d01-A23_P	IPD1805-R03-d01-A23_P	IPD1809-D06-d01-A23_P	IPD1809-R03-d01-A23_P	IPD1812-R03-P01-A08_P
MEDIAN_CV_GENE_500X (%)	0.00	93.00	NA	75.56	NA	NA	67.89	NA	65.55	NA	53.61	NA	63.16	NA	58.70	NA	66.50	NA	59.49	NA	58.03	NA	62.02	NA	56.53	NA	57.96	NA	68.82	NA	60.37	NA	54.80	63.82
TOTAL_ON_TARGET_READS (Count)	9000000	NA	NA	17956498	NA	NA	28232789	NA	23279280	NA	27761448	NA	7729788	NA	27246581	NA	13138274	NA	22528907	NA	28020010	NA	24564746	NA	21340890	NA	21801735	NA	19092961	NA	22052976	NA	28609630	28527305
MEDIAN_INSERT_SIZE (Count)	80	NA	NA	100	NA	NA	99	NA	103	NA	123	NA	92	NA	101	NA	113	NA	117	NA	111	NA	108	NA	108	NA	123	NA	108	NA	127	NA	119	114
																																		
[RNA Expanded Metrics]																																		
Metric (UOM)	LSL Guideline	USL Guideline	IPD1693-D06-P02-A23_P	IPD1693-R03-P02-A23_P	IPD1712-D06-d11-A06_P	IPD1766-D06-P02-A03_P	IPD1766-R03-P02-A03_P	IPD1781-D06-P01-A12_P	IPD1781-R03-P01-A12_P	IPD1782-D06-P01-A15_P	IPD1782-R03-P01-A15_P	IPD1787-D06-d01-A18_P	IPD1787-R03-d01-A18_P	IPD1788-D06-P01-A04_P	IPD1788-R03-P01-A04_P	IPD1789-D06-d01-A09_P	IPD1789-R03-d01-A09_P	IPD1792-D06-P01-A15_P	IPD1792-R03-P01-A15_P	IPD1793-D06-R01-A18_P	IPD1793-R03-R01-A18_P	IPD1795-D06-R01-A15_P	IPD1795-R03-R01-A15_P	IPD1797-D06-P01-A08_P	IPD1797-R03-P01-A08_P	IPD1799-D06-P01-A23_P	IPD1799-R03-P01-A23_P	IPD1804-D06-P01-A16_P	IPD1804-R03-P01-A16_P	IPD1805-D06-d01-A23_P	IPD1805-R03-d01-A23_P	IPD1809-D06-d01-A23_P	IPD1809-R03-d01-A23_P	IPD1812-R03-P01-A08_P
PCT_CHIMERIC_READS (%)	NA	NA	NA	0.16	NA	NA	0.15	NA	0.17	NA	0.13	NA	0.13	NA	0.15	NA	0.11	NA	0.10	NA	0.15	NA	0.21	NA	0.20	NA	0.26	NA	0.25	NA	0.12	NA	0.14	0.10
PCT_ON_TARGET_READS (%)	NA	NA	NA	92.9	NA	NA	94.1	NA	93.5	NA	92.5	NA	90.9	NA	94.9	NA	94.6	NA	93.4	NA	93.4	NA	93.7	NA	95.2	NA	93.0	NA	93.0	NA	94.0	NA	95.4	95.1
SCALED_MEDIAN_GENE_COVERAGE (Count)	NA	NA	NA	3161.8	NA	NA	5183.1	NA	4333.3	NA	5820.8	NA	1423.9	NA	5798.5	NA	2575.9	NA	4668.2	NA	5636.9	NA	4789.4	NA	3325.5	NA	4753.2	NA	3440.7	NA	4725.2	NA	5563.9	5496.8
TOTAL_PF_READS (Count)	NA	NA	NA	19323850	NA	NA	29997786	NA	24908932	NA	30001600	NA	8504256	NA	28714966	NA	13884880	NA	24115512	NA	30000276	NA	26227342	NA	22407864	NA	23453436	NA	20525806	NA	23449228	NA	29999620	30000336
																																		
[Notes]																																		
Run Metrics	Run Metrics are not generated and values are reported as NA when starting analysis from FASTQ files.																																	
